tile_id,ndvi_mean,xmin,ymin,xmax,ymax
68719476737,0.3604022023845593,602265,4679175,609945,4686855
1.88979E+11,,602265,4533255,609945,4540935
2.92058E+11,0.009498315,510105,4656135,517785,4663815
9.27713E+11,0.027388266468267395,448665,4732935,456345,4740615
1.04797E+12,0.3714424454719749,525465,4571655,533145,4579335
1.09092E+12,0.009101434,502425,4648455,510105,4656135
1.1081E+12,0.3728573377044985,548505,4663815,556185,4671495
1.7094E+12,0.006983874,464025,4679175,471705,4686855
9.62073E+11,0.38527629906290917,548505,4510215,556185,4517895
1.30567E+12,0.35828962536842457,586905,4671495,594585,4679175
4.38087E+11,0.38817868152213136,517785,4587015,525465,4594695
7.04375E+11,,402585,4594695,410265,4602375
7.73094E+11,0.008987092,487065,4656135,494745,4663815
9.01943E+11,0.413516302,533145,4517895,540825,4525575
1.24554E+12,,617625,4625415,625305,4633095
1.34862E+12,,494745,4504485,502425,4510215
1.00502E+12,,433305,4717575,440985,4725255
1.44311E+12,,556185,4725255,563865,4732935
5.15396E+11,,632985,4709895,635115,4717575
6.01295E+11,0.3796581561194627,471705,4533255,479385,4540935
7.73094E+11,0.3784776219913236,579225,4556295,586905,4563975
1.11669E+12,0.40037877705524355,617625,4648455,625305,4656135
1.46888E+12,0.38140190812479746,556185,4525575,563865,4533255
1.57196E+12,,402585,4504485,410265,4510215
1.69222E+12,0.008241387,502425,4633095,510105,4640775
4.98216E+11,0.006885482,464025,4702215,471705,4709895
7.38734E+11,0.394953227,579225,4694535,586905,4702215
8.24634E+11,0.3393587298235418,586905,4517895,594585,4525575
9.87842E+11,0.007680068,464025,4640775,471705,4648455
1.00502E+12,0.3528189700263337,586905,4617735,594585,4625415
1.194E+12,0.34521478077087053,579225,4587015,586905,4594695
1.22836E+12,0.4262699905826506,563865,4540935,571545,4548615
5.84116E+11,,479385,4504485,487065,4510215
1.03938E+12,0.35960857864072227,625305,4686855,632985,4694535
1.194E+12,,571545,4725255,579225,4732935
1.56337E+12,0.35746610908829574,540825,4540935,548505,4548615
1.66645E+12,0.3252225697022896,625305,4694535,632985,4702215
7.90274E+11,0.37063910982226117,548505,4571655,556185,4579335
7.98864E+11,0.41392611371655486,579225,4702215,586905,4709895
1.11669E+11,,617625,4556295,625305,4563975
3.35007E+11,,625305,4633095,632985,4640775
3.52187E+11,,625305,4594695,632985,4602375
6.18475E+11,0.3531833624680776,563865,4702215,571545,4709895
7.30144E+11,,617625,4725255,625305,4732935
1.0222E+12,0.3877981404196504,556185,4633095,563865,4640775
1.09951E+12,,632985,4556295,635115,4563975
1.80389E+11,0.2910322474701095,471705,4587015,479385,4594695
3.77957E+11,0.36020831994231284,502425,4540935,510105,4548615
4.72446E+11,,425625,4517895,433305,4525575
7.12965E+11,,510105,4732935,517785,4740615
8.07454E+11,,402585,4648455,410265,4656135
1.46029E+12,0.2668197443882773,440985,4640775,448665,4648455
