OBJECTID,pointid,grid_code,X,Y
236,977294,-0.027387086,-73.85265862,40.90967113
237,977295,0.026878573,-73.8521159,40.90967113
238,978973,0.338598222,-73.91181558,40.90912841
239,978974,0.541808248,-73.91127286,40.90912841
240,978975,0.484761894,-73.91073013,40.90912841
241,978976,0.256154388,-73.91018741,40.90912841
242,978977,-0.007991492,-73.90964468,40.90912841
243,978978,0.103383489,-73.90910196,40.90912841
244,978979,0.0214912,-73.90855923,40.90912841
245,978980,1,-73.90801651,40.90912841
246,978981,0.492081434,-73.90747378,40.90912841
247,978982,0.271341473,-73.90693106,40.90912841
248,978983,0.542239726,-73.90638834,40.90912841
249,978984,0.043147214,-73.90584561,40.90912841
250,978985,0.094846219,-73.90530289,40.90912841
251,978986,0.167185873,-73.90476016,40.90912841
252,978987,0.459657758,-73.90421744,40.90912841
253,978988,0.070213683,-73.90367471,40.90912841
254,978989,0.067314371,-73.90313199,40.90912841
255,978990,0.081868418,-73.90258927,40.90912841
256,978991,0.223181263,-73.90204654,40.90912841
257,978992,0.15683648,-73.90150382,40.90912841
258,978993,0.061415214,-73.90096109,40.90912841
259,978994,0.132634178,-73.90041837,40.90912841
260,978995,0.172182247,-73.89987564,40.90912841
261,978996,0.098915085,-73.89933292,40.90912841
262,978997,0.25217393,-73.89879019,40.90912841
263,978998,0.217162862,-73.89824747,40.90912841
264,978999,0.201704547,-73.89770475,40.90912841
265,979000,0.115501501,-73.89716202,40.90912841
266,979001,0.022963529,-73.8966193,40.90912841
267,979002,0.322274864,-73.89607657,40.90912841
268,979003,0.660606086,-73.89553385,40.90912841
269,979004,0.479476035,-73.89499112,40.90912841
270,979005,0.394064873,-73.8944484,40.90912841
271,979006,0.437065125,-73.89390567,40.90912841
272,979007,0.332866132,-73.89336295,40.90912841
273,979008,0.424565315,-73.89282023,40.90912841
274,979009,0.439605564,-73.8922775,40.90912841
275,979010,0.351674616,-73.89173478,40.90912841
276,979011,0.514655828,-73.89119205,40.90912841
277,979012,0.385108054,-73.89064933,40.90912841
278,979013,0.385852098,-73.8901066,40.90912841
279,979014,0.349969596,-73.88956388,40.90912841
280,979015,0.532416523,-73.88902116,40.90912841
281,979078,0.565529644,-73.85428679,40.90912841
282,979079,0.839024425,-73.85374407,40.90912841
283,979080,0.184110031,-73.85320135,40.90912841
284,979081,0.008241745,-73.85265862,40.90912841
285,980748,-0.019952124,-73.9123583,40.90858569
286,980749,0.470588237,-73.91181558,40.90858569
287,980750,0.542981565,-73.91127286,40.90858569
288,980751,0.557275534,-73.91073013,40.90858569
289,980752,0.064192578,-73.91018741,40.90858569
290,980753,0.583838403,-73.90964468,40.90858569
291,980754,0.046215691,-73.90910196,40.90858569
292,980755,-0.036936924,-73.90855923,40.90858569
293,980756,1,-73.90801651,40.90858569
294,980757,0.499501497,-73.90747378,40.90858569
295,980758,0.636672378,-73.90693106,40.90858569
296,980759,0.521929801,-73.90638834,40.90858569
297,980760,-0.037837874,-73.90584561,40.90858569
298,980761,0.201871172,-73.90530289,40.90858569
299,980762,0.118974999,-73.90476016,40.90858569
300,980763,0.225859269,-73.90421744,40.90858569
301,980764,0.117578574,-73.90367471,40.90858569
302,980765,0.026332658,-73.90313199,40.90858569
303,980766,0.043902457,-73.90258927,40.90858569
304,980767,0.196519256,-73.90204654,40.90858569
305,980768,0.094124332,-73.90150382,40.90858569
306,980769,0.232815981,-73.90096109,40.90858569
307,980770,0.041114062,-73.90041837,40.90858569
308,980771,0.128479674,-73.89987564,40.90858569
309,980772,0.200000003,-73.89933292,40.90858569
310,980773,0.113636367,-73.89879019,40.90858569
311,980774,0.135303274,-73.89824747,40.90858569
312,980775,0.025674781,-73.89770475,40.90858569
313,980776,0.373134375,-73.89716202,40.90858569
314,980777,0.123867072,-73.8966193,40.90858569
315,980778,0.538904905,-73.89607657,40.90858569
316,980779,0.408056051,-73.89553385,40.90858569
317,980780,0.484193027,-73.89499112,40.90858569
318,980781,0.30575034,-73.8944484,40.90858569
319,980782,0.392330408,-73.89390567,40.90858569
320,980783,0.357827485,-73.89336295,40.90858569
321,980784,0.449304163,-73.89282023,40.90858569
322,980785,0.461973608,-73.8922775,40.90858569
323,980786,0.367616415,-73.89173478,40.90858569
324,980787,0.403460234,-73.89119205,40.90858569
325,980788,0.416509122,-73.89064933,40.90858569
326,980789,0.288389504,-73.8901066,40.90858569
